entity_id,state,last_changed
sensor.kostal_kwh,3.23,2026-07-10T10:08:30.351Z
sensor.kostal_kwh,3.242,2026-07-10T10:09:30.732Z
sensor.kostal_kwh,3.233,2026-07-10T10:11:31.453Z
sensor.kostal_kwh,3.238,2026-07-10T10:12:31.772Z
sensor.kostal_kwh,3.245,2026-07-10T10:13:32.088Z
sensor.kostal_kwh,3.243,2026-07-10T10:14:32.473Z
sensor.kostal_kwh,3.24,2026-07-10T10:15:32.791Z
sensor.kostal_kwh,3.241,2026-07-10T10:16:33.108Z
sensor.kostal_kwh,3.243,2026-07-10T10:17:33.434Z
sensor.kostal_kwh,3.242,2026-07-10T10:18:33.745Z
sensor.kostal_kwh,3.247,2026-07-10T10:19:34.154Z
sensor.kostal_kwh,3.248,2026-07-10T10:20:34.465Z
sensor.kostal_kwh,3.244,2026-07-10T10:22:35.168Z
sensor.kostal_kwh,3.242,2026-07-10T10:23:35.479Z
sensor.kostal_kwh,3.237,2026-07-10T10:24:40.793Z
sensor.kostal_kwh,3.236,2026-07-10T10:25:44.215Z
sensor.kostal_kwh,3.242,2026-07-10T10:26:44.526Z
sensor.kostal_kwh,3.232,2026-07-10T10:27:44.905Z
sensor.kostal_kwh,3.234,2026-07-10T10:28:45.221Z
sensor.kostal_kwh,3.23,2026-07-10T10:29:45.534Z
sensor.kostal_kwh,3.229,2026-07-10T10:30:45.948Z
sensor.kostal_kwh,3.224,2026-07-10T10:32:46.638Z
sensor.kostal_kwh,3.22,2026-07-10T10:33:46.948Z
sensor.kostal_kwh,3.219,2026-07-10T10:34:47.256Z
sensor.kostal_kwh,3.212,2026-07-10T10:35:47.640Z
sensor.kostal_kwh,3.216,2026-07-10T10:36:47.957Z
sensor.kostal_kwh,3.212,2026-07-10T10:37:48.274Z
sensor.kostal_kwh,3.211,2026-07-10T10:38:48.685Z
sensor.kostal_kwh,3.213,2026-07-10T10:40:49.369Z
sensor.kostal_kwh,3.209,2026-07-10T10:41:49.682Z
sensor.kostal_kwh,3.245,2026-07-10T10:42:50.001Z
sensor.kostal_kwh,3.254,2026-07-10T10:43:50.376Z
sensor.kostal_kwh,3.25,2026-07-10T10:44:50.683Z
sensor.kostal_kwh,3.2520000000000002,2026-07-10T10:45:50.983Z
sensor.kostal_kwh,3.2920000000000003,2026-07-10T10:46:51.375Z
sensor.kostal_kwh,3.317,2026-07-10T10:47:51.677Z
sensor.kostal_kwh,3.3160000000000003,2026-07-10T10:48:52.054Z
sensor.kostal_kwh,3.315,2026-07-10T10:49:52.361Z
sensor.kostal_kwh,3.3160000000000003,2026-07-10T10:52:53.376Z
sensor.kostal_kwh,3.33,2026-07-10T10:53:53.669Z
sensor.kostal_kwh,3.361,2026-07-10T10:54:54.069Z
sensor.kostal_kwh,3.373,2026-07-10T10:55:54.380Z
sensor.kostal_kwh,3.37,2026-07-10T10:56:54.767Z
sensor.kostal_kwh,3.36,2026-07-10T10:57:55.083Z
sensor.kostal_kwh,3.364,2026-07-10T10:58:55.402Z
sensor.kostal_kwh,3.36,2026-07-10T10:59:55.791Z
sensor.kostal_kwh,3.354,2026-07-10T11:00:56.112Z
sensor.kostal_kwh,3.356,2026-07-10T11:01:56.432Z
sensor.kostal_kwh,3.363,2026-07-10T11:02:56.844Z
sensor.kostal_kwh,3.362,2026-07-10T11:03:57.161Z
sensor.kostal_kwh,3.358,2026-07-10T11:04:57.533Z
sensor.kostal_kwh,3.352,2026-07-10T11:05:57.853Z
sensor.kostal_kwh,3.35,2026-07-10T11:06:58.169Z
sensor.kostal_kwh,3.351,2026-07-10T11:07:58.576Z
sensor.kostal_kwh,3.348,2026-07-10T11:08:58.852Z
sensor.kostal_kwh,3.349,2026-07-10T11:09:59.163Z
sensor.kostal_kwh,3.345,2026-07-10T11:10:59.576Z
sensor.kostal_kwh,3.336,2026-07-10T11:11:59.896Z
sensor.kostal_kwh,3.334,2026-07-10T11:13:00.278Z
sensor.kostal_kwh,3.3240000000000003,2026-07-10T11:14:00.572Z
sensor.kostal_kwh,3.321,2026-07-10T11:15:00.897Z
sensor.kostal_kwh,3.3120000000000003,2026-07-10T11:17:01.568Z
sensor.kostal_kwh,3.309,2026-07-10T11:18:01.872Z
sensor.kostal_kwh,3.301,2026-07-10T11:19:02.289Z
sensor.kostal_kwh,3.293,2026-07-10T11:21:08.017Z
sensor.kostal_kwh,3.2840000000000003,2026-07-10T11:22:08.330Z
sensor.kostal_kwh,3.291,2026-07-10T11:23:08.637Z
sensor.kostal_kwh,3.2800000000000002,2026-07-10T11:24:09.016Z
sensor.kostal_kwh,3.279,2026-07-10T11:25:09.328Z
sensor.kostal_kwh,3.2760000000000002,2026-07-10T11:26:09.644Z
sensor.kostal_kwh,3.259,2026-07-10T11:27:09.975Z
sensor.kostal_kwh,3.254,2026-07-10T11:28:10.331Z
sensor.kostal_kwh,3.261,2026-07-10T11:29:10.688Z
